Sample,Eruption,No,Notes,Note2,Code,Type,Author,,SiO2,Al2O3,TiO2,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Mg#,SiO2_SD,Al2O3_SD,TiO2_SD,FeOT_SD,MnO_SD,MgO_SD,CaO_SD,Na2O_SD,K2O_SD,P2O5_SD,
OLZ-3,,END1,OL,MG,MG,Ash,Me,,52.37983509,14.92592344,1.501642421,11.13159482,0.321780519,5.480324462,10.48468191,2.765301334,0.700543005,0.224575987,100,0.522877722,,0.167661044,0.509596069,0.046686292,0.327490895,0.029603006,0.035788289,0.13844524,0.064125248,0.026392733,0.028833965
OLZ-4,,END1,OL,MG,MG,Ash,Me,,52.1961391,15.20481604,1.523508442,11.01769019,0.316136409,5.202798144,10.42913836,3.05374319,0.719714805,0.25559965,100,0.512470507,,0.186101235,0.822192968,0.050109855,0.340460099,0.004756217,0.308494849,0.176172743,0.189712851,0.05485137,0.037147242
OLZ-8,,END1,OL,MG,MG,Ash,Me,,51.68260959,15.19854105,1.613791205,11.3619159,0.309682747,5.147615443,10.3502856,3.131236666,0.853348015,0.254628037,100,0.502116113,,0.381274988,0.340633643,0.012874742,0.046420541,0.022299706,0.123394268,0.089331464,0.021211252,0.039831522,0.109678463
OLZ-10,,END1,OL,MG,MG,Ash,Me,,52.19462747,13.31474911,1.44450076,11.59655347,0.329447542,6.543335023,10.72478459,2.75215408,0.83122149,0.207805373,100,0.556738807,,0.020273695,0.400405474,0.005068424,0.283831728,0.015205271,0.724784592,0.172326406,0.045615813,0.060821085,0.005068424
OLZ-12,,END1,OL,MG,MG,Ash,Me,,52.07656926,15.34090909,1.535443723,10.96455628,0.304383117,5.279356061,10.57224026,2.94237013,0.706845238,0.199540043,100,0.517326606,,0.160922311,0.385106686,0.081309627,0.12212845,0.036110248,0.095298991,0.065754268,0.057989814,0.004782919,0.020848262
OLZ-14,,END1,OL,MG,MG,Ash,Me,,52.43362832,15.1850362,1.659292035,11.52453741,0.306717619,4.726468222,9.940667739,3.026950925,0.839702333,0.28157683,100,0.477240181,,0.110619469,0.110619469,0.080450523,0.82461786,0.005028158,0.402252615,0.719026549,0.120675784,0.045253419,0.060337892
OLZ-16,,END1,OL,MG,MG,Ash,Me,,51.87255826,15.62036912,1.337060488,10.57523912,0.293008218,6.075710629,10.51461673,2.845884413,0.639903004,0.154923885,100,0.561187187,,0.341440359,0.669748623,0.10954773,0.55354763,0.008249662,0.911292121,0.312218205,0.103148274,0.067189604,0.020761195
OLZ-20,,END1,OL,MG,MG,Ash,Me,,52.51665433,13.88870197,1.655339479,11.97429513,0.339815625,5.669201265,10.07334634,2.792544243,0.841127784,0.174954579,100,0.51311797,,0.082413355,0.464156231,0.057097647,0.435024915,0.009516275,0.206910596,0.042823236,0.057885238,0.038947032,0.038065098
OLZ-21,,END1,OL,MG,MG,Ash,Me,,52.37249429,14.61050495,1.613803603,11.45902055,0.304491246,5.2626237,10.22075615,3.004313626,0.827201218,0.243592997,100,0.505512385,,0.202994164,0.268967267,0.030449125,0.152245623,0.010149708,0.137021061,0.071047957,0.040598833,0.005074854,0.030449125
OLZ-25,,END1,OL,MG,MG,Ash,Me,,51.88811189,15.11854,1.398601399,10.79652055,0.317243732,5.990107454,10.66689408,2.950707829,0.658366024,0.150093809,100,0.552575782,,0.061591233,0.03948776,0.004824198,0.079708828,0,0.03163438,0.135335729,0.053719992,0.02102819,0.033769384
OLZ-27,,END1,OL,MG,MG,Ash,Me,,52.19819271,14.53954716,1.517920601,11.55954919,0.314752767,5.482790131,10.46806782,2.842928216,0.80211189,0.192912986,100,0.513571721,,0.365519342,0.182759671,0.055843233,0.015229973,0,0.111686466,0.010153315,0.091379836,0.010153315,0.030459945
BF-10-MG,,END1,OL,MG,MG,Ash,Me,,52.98170587,15.26321149,1.639344262,10.84071547,0.329226487,4.761904762,9.754607474,3.38051115,0.838339612,0.210433425,100,0.494384416,,0.463811712,0.11519915,0.050570765,0.204040843,0.026725072,0.067199504,0.092578364,0.068051243,0.031475473,0.083690242
BF-13-MG,,END1,OL,MG,MG,Ash,Me,,53.04751721,15.45813005,1.440219207,10.48586513,0.280692375,4.895408675,10.51928089,2.910512598,0.718438816,0.24393504,100,0.509615704,,0.224209533,1.177155184,0.069613937,0.794086683,0.008185156,0.41100025,0.15011079,0.054499453,0.038681537,0.050012128
BF-25-MG,,END1,OL,MG,MG,Ash,Me,,53.91064257,13.65210843,1.495983936,11.38303213,0.3062249,5.692771084,10.04016064,2.567771084,0.740461847,0.210843373,100,0.526792131,,0.284820441,0.15769366,0.058111631,0.179796684,0.032144198,0.06467921,0.094718686,0.021737585,0.023944257,0.099392519
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.88174339,15.93880432,1.527756395,11.27205431,0.126407177,3.327787824,7.04758736,3.427468452,1.085801638,0.364589139,100,0.396794644,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.60589749,15.33349329,1.363006024,11.78041213,0.069394997,4.581613181,7.0375836,3.814448313,1.057215649,0.356935319,100,0.464259312,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,53.48582558,18.42281516,1.723060271,9.940372042,0.208844542,3.33386151,7.963435495,3.559594315,0.964765564,0.397425523,100,0.427687301,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.67439899,15.18246264,1.162189099,12.26051854,0.236629477,3.846274416,6.505357085,3.462319809,1.229774767,0.440075173,100,0.411419769,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.11410505,17.14629875,1.609570256,9.153820835,0.096219347,2.722373735,7.47312116,4.358004073,0.91867579,0.407811004,100,0.398555581,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.75409227,17.05928344,1.384132637,10.36454439,0.12970771,3.429813452,7.412635871,4.336685914,0.821500064,0.307604255,100,0.424407734,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.56007154,14.53744954,2.697815697,11.24693087,0.203351254,3.89617193,6.66141321,3.762205337,1.139393524,0.295197098,100,0.435629029,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.71311335,14.49703768,1.53587794,11.90219817,0.237069009,3.888941735,6.904817941,3.783747033,1.12632984,0.410867298,100,0.42130805,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.29490589,15.87250187,1.999338661,12.17888009,0.020362161,3.760642044,6.402667498,4.044316364,1.114955152,0.311430273,100,0.407590867,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,57.37064277,15.67069445,1.123268711,11.4894426,0.127943458,3.394600839,6.684784598,2.6368923,1.075118799,0.426611471,100,0.396980496,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.90712217,14.71912165,1.761638052,11.59646477,0.226227802,3.324890848,7.569512227,3.628573541,0.888269348,0.378179594,100,0.389816543,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.80672379,13.12889425,2.033235054,12.087382,0.099205947,3.638282563,7.473473357,3.194198043,1.159479025,0.379125972,100,0.401439602,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.61118038,17.16244188,1.454856252,9.327182411,0.231902056,2.749515079,8.376416293,3.900046627,0.895642737,0.290816282,100,0.396438168,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.76225653,15.32512521,1.505676871,10.89345216,0.307606854,3.478145687,7.594647916,3.775720113,0.986573199,0.370795457,100,0.415692258,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.86154831,14.45979013,1.392418861,12.97347331,0.183203373,3.788685504,6.83880771,3.058632495,1.050698306,0.392742001,100,0.394196151,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.10856848,15.36314791,1.242301768,11.57043422,0.228838069,3.655562161,8.381339515,3.04916712,0.91966894,0.480971811,100,0.413134326,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.79987523,15.33853585,2.059963149,11.03210075,0.167968123,3.608575006,7.35837707,3.151924407,1.163976743,0.318703676,100,0.421573754,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.42330023,15.83384209,1.208102578,9.795160911,0.211648764,3.210297511,8.147074912,3.607919871,1.134497094,0.428156039,100,0.422054565,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.81818754,14.20008648,2.017662738,11.39526339,0.166235574,3.48087986,7.221320848,3.369060129,0.920038024,0.411265416,100,0.404985943,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.5590657,14.00512699,1.767570579,11.96707428,0.100317763,3.682990795,7.10441619,3.009052159,1.410455539,0.393929999,100,0.406789388,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.20185362,15.64743571,1.862986143,11.62438476,0.210694507,3.493309303,7.685038537,3.650357504,1.208916242,0.415023681,100,0.401053966,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.26289988,14.63357957,1.846590628,12.47818085,0.225816594,4.445222493,7.12221853,3.258291364,1.259552085,0.467648,100,0.442512429,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.06427131,14.66024069,1.863248274,12.18744854,0.166712978,3.63921692,7.918838356,3.673705515,1.265686957,0.560630452,100,0.399521783,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,53.50630073,14.73338563,1.71698042,12.24946438,0.180021341,5.918535396,7.017126433,3.355391361,0.920269057,0.40252525,100,0.518438339,,,,,,,,,,,
